tome	session_id	organization	president	date
15	48	ASSEMBLÉE NATIONALE. 	PRÉSIDENCE DE M. CAMUS. 	1790-05-20
15	49	ASSEMBLÉE NATIONALE. 	PRÉSIDENCE DE M. THOURET.	1790-05-21
15	50	ASSEMBLÉE NATIONALE. 	PRÉSIDENCE DE M. LE BARON DE MENOU. 	1790-05-21
15	51	ASSEMBLÉE NATIONALE. 	PRÉSIDENCE DE M. THODRET.	1790-05-22
15	52	ASSEMBLÉE NATIONALE.	PRÉSIDENCE DE M. THOURET. 	1790-05-24
15	53	ASSEMBLÉE NATIONALE. 	PRÉSIDENCE DE M. THOURET. 	1790-05-25
15	54	ASSEMBLÉE NATIONALE. 	PRÉSIDENCE DE M. THOURET. 	1790-05-26
15	55	ASSEMBLÉE NATIONALE. 	PRÉSIDENCE DE M. BRIOIS DE BEAUMETZ. 	1790-05-27
15	56	ASSEMBLÉE NATIONALE. 	PRESIDENCE DE M. LE BARON DE MENOU.	1790-05-27
15	57	ASSEMBLÉE NATIONALE. 	PRÉSIDENCE DE M. BRIOIS DE BEAUMETZ. 	1790-05-28
15	58	ASSEMBLÉE NATIONALE. 	PRÉSIDENCE DE M. BRIOIS DE BEAUMETZ. 	1790-05-29
15	59	ASSEMBLÉE NATIONALE. 	PRÉSIDENCE DE M. L'ABBÉ GOUTTES.	1790-05-29
15	60	ASSEMBLÉE NATIONALE.	 PRÉSIDENCE DE M. BRIOIS DB BEAUMETZ.	1790-03-30
16	1	ASSEMBLÉE NATIONALE.	PRÉSIDENCE DE M. BRIOIS DE BEAUMETZ.	1790-05-31
16	2	ASSEMBLÉE NATIONALE.	PRÉSIDENCE DE M. BRIOIS DE BEAUMETZ.	1790-05-31
16	3	ASSEMBLÉE NATIONALE.	PRÉSIDENCE DE M. DRIOIS DE BEAUMETZ.	1790-06-01
16	4	ASSEMBLÉE NATIONALE.	PRÉSIDENCE DE M. BRIOIS DE BEAUMETZ.	1790-06-01
16	5	ASSEMBLÉE NATIONALE.	PRÉSIDENCE DE M. BRIOIS DE BEAUMETZ.	1790-06-02
16	6	ASSEMBLÉE NATIONALE. 	PRÉSIDENCE DE M. BRIOIS DE BEAUMETZ 	1790-06-02
16	7	ASSEMBLÉE NATIONALE. 	n/a	1790-06-03
16	8	ASSEMBLÉE NATIONALE. 	PRÉSIDENCE DE M. BRIOIS DE BEAUMETZ. 	1790-06-04
16	9	ASSEMBLÉE NATIONALE.	PRÉSIDENCE DE M. BRIOIS DE BEAUMETZ.	1790-06-05
16	10	ASSEMBLÉE NATIONALE.	 PRÉSIDENCE DE M. LE CHAPELIER, EX-PRÉSIDENT.	1790-06-05
